participants,4
setting,4
peer production sites,3
new patient referrals,3
human resource management,3
materials,3
ethics board members,2
findings,2
intelligence employee innovation,2
persongroup fit adaptive,2
fit adaptive performance,2
main,2
qualified,2
candidate,2
contribution,2
child maltreatment disparities,2
making hiring decisions,2
knowledge collection behavior,2
statement,2
identify factors influencing,2
gendered differences exist,2
financial reporting quality,2
objectives,2
language main stressor,2
main stressor impedes,2
stressor impedes functioning,2
share similar coping,2
similar coping strategies,2
coping strategies master,2
strategies master occupational,2
based facial photographs,2
physician faculty,2
certain racialethnic groups,2
mean iq scores,2
high school grades,2
dairy milk pba,1
machine learning biases,1
covid19 event strength,1
female earnings disadvantage,1
ethnic discrimination recruitment,1
cognition metacognition attitude,1
insecurity turnover intention,1
job insecurity turnover,1
dairy milk positive,1
strength turnover intention,1
examine legal framework,1
support vector machine,1
vector machine fictitious,1
machine fictitious scenario,1
fictitious scenario discuss,1
scenario discuss resulting,1
discuss resulting challenges,1
resulting challenges practical,1
challenges practical application,1
practical application turns,1
persistent innovation underperformance,1
product market competition,1
compensating wage differentials,1
ofdi innovation performance,1
hire altruistic selfish,1
hire altruistic employees,1
hire selfish employees,1
decision hire altruistic,1
btof persistent innovation,1
responsive persistent innovation,1
seeking treatment early,1
military personnel seek,1
mental illness wait,1
illness wait reach,1
wait reach crisis,1
reach crisis point,1
crisis point effective,1
point effective selective,1
effective selective indicated,1
selective indicated prevention,1
aims,1
aimed examine military,1
examine military personnels,1
military personnels attitudes,1
personnels attitudes beliefs,1
attitudes beliefs needs,1
mental illness compared,1
illness compared sought,1
finally examined factors,1
examined factors associated,1
factors associated intentions,1
conducted crosssectional questionnaire,1
logistic ordinal performed,1
crosssectional questionnaire military,1
questionnaire military personnel,1
mental illness descriptive,1
illness descriptive regression,1
descriptive regression analyses,1
regression analyses logistic,1
analyses logistic ordinal,1
conducted crosssectional,1
higher preference selfmanagement,1
lower belief treatment,1
treatment strongly related,1
intention seek treatment,1
strongly related lower,1
related lower belief,1
symptoms lower belief,1
majority personnel believed,1
strongly related preference,1
denial symptoms lower,1
facilitate early treatment,1
seek treatment neededpurpose,1
seeking interventions align,1
interventions align high,1
align high preference,1
high preference selfmanagement,1
preference selfmanagement mental,1
selfmanagement mental illness,1
mental illness stigma,1
illness stigma targeted,1
approximately randomized controlled,1
decisions report trial,1
published leading publication,1
leading publication bias,1
decisionmaking qualitative interviews,1
qualitative interviews conducted,1
interviews conducted understand,1
drugs biologics canada,1
biologics canada influence,1
canada influence decisions,1
identification key themes,1
ethical review trials,1
review trials administrators,1
trials administrators knowledge,1
administrators knowledge dissemination,1
semistructured interviews held,1
interviews held person,1
held person telephone,1
person telephone march,1
protect publication rights,1
interviews conducted participants,1
involved conduct administration,1
participants involved conduct,1
trial agreements multicenter,1
coordinator administrators ethics,1
administrators ethics board,1
conduct administration ethical,1
administration ethical review,1
implications,1
individual group members,1
role recruiter nationality,1
ethnic hiring discrimination,1
south africa africa,1
africa africa academic,1
human algorithmic evaluation,1
department south africa,1
discrimination widely neglected,1
discrimination involving foreign,1
experimental pointed ethnic,1
adaptiveness customer valuation,1
customer valuation skills,1
outcomes aihrm interaction,1
highly cited articles,1
reverse engineering nvg,1
efficient investment decisions,1
specificity adaptiveness customer,1
valuation skills experience,1
salesperson adaptiveness customer,1
aihrm interaction observe,1
emotional intelligence interrelates,1
practitioners academicians alike,1
intelligence interrelates employee,1
interrelates employee innovation,1
timely crucial topic,1
crucial topic human,1
topic human resource,1
human resource organizational,1
resource organizational psychology,1
organizational psychology practitioners,1
emotional intelligence employee,1
examined mediating effect,1
relationship emotional intelligence,1
studies emotional intelligence,1
mediating effect persongroup,1
effect persongroup fit,1
sequential mediation framework,1
paperbased surveys conducted,1
surveys conducted collect,1
analysis responses revealed,1
responses revealed hypotheses,1
revealed hypotheses strongly,1
hypotheses strongly supported,1
conducted collect data,1
collect data analysis,1
data analysis responses,1
strongly supported data,1
found sequential mediation,1
exists persongroup fit,1
adaptive performance findings,1
adaptive performance emotional,1
findings offer significant,1
offer significant contribution,1
significant contribution field,1
family nonfamily firms,1
theoretical practical implications,1
brazil mexico reveals,1
prefer hire managers,1
prefer employ managers,1
practical implications findings,1
implications findings explored,1
findings explored substantial,1
explored substantial value,1
substantial value human,1
despite increasing numbers,1
surgery remains maledominated,1
increasing numbers female,1
numbers female students,1
female students surgery,1
students surgery remains,1
despite increasing,1
remains maledominated,1
increasing numbers,1
numbers female,1
purpose,1
highlight principal career,1
aspiring female surgeons,1
principal career obstacles,1
career obstacles experienced,1
obstacles experienced aspiring,1
experienced aspiring female,1
highlight principal,1
female surgeons,1
principal career,1
career obstacles,1
narrative review literature,1
medline embase databases,1
review literature position,1
literature position career,1
position career barriers,1
career barriers female,1
barriers female surgeons,1
female surgeons conducted,1
surgeons conducted medline,1
conducted medline embase,1
main findings,1
specialtyspecific challenges overlooked,1
remain prevalent negatively,1
prevalent negatively impacting,1
negatively impacting training,1
impacting training performance,1
training performance overall,1
performance overall professional,1
overall professional trajectory,1
globally underrepresented leadership,1
underrepresented leadership positions,1
examining workforce integration,1
workforce integration international,1
integration international graduates,1
delay voicing accusations,1
antecedents workforce integration,1
countries examining workforce,1
articles examining workforce,1
voicing accusations wrongdoing,1
graduates relatively sparse,1
receiving countries examining,1
httpsosfiozgbse,1
published report projected,1
studies carried forecasts,1
carried forecasts required,1
forecasts required number,1
years constantly updated,1
constantly updated universities,1
updated universities begun,1
universities begun introducing,1
airlines require degree,1
require degree candidates,1
explores current key,1
triangulation utilized verify,1
current key reasons,1
key reasons low,1
studies problem gender,1
problem gender discrimination,1
gender discrimination societal,1
discrimination societal stereotype,1
societal stereotype believes,1
purely male type,1
addition high cost,1
shift financial obligations,1
role models young,1
models young girls,1
acceptance male peers,1
male peers passengers,1
continue hinder promotion,1
place mitigate problems,1
mitigate problems connected,1
controversial number female,1
picks candidates highest,1
maker picks candidates,1
decision maker picks,1
moral primacy effect,1
presents theoretical practical,1
information targets morality,1
female male academics,1
gender disparities science,1
science commercialisation centre,1
multiple stages developing,1
positions relevant,1
positions,1
relevant,1
constraints needed order,1
fitness score computed,1
needed order correct,1
order correct implicit,1
correct implicit societal,1
implicit societal biases,1
societal biases input,1
biases input data,1
input data reflected,1
data reflected relevance,1
tackle problem selecting,1
problem selecting subset,1
tackle problem,1
selecting subset,1
problem selecting,1
tackle,1
subset,1
problem,1
selecting,1
individuals pool,1
individuals,1
pool,1
maximizing global utility,1
utility ie selecting,1
respecting groupfairness criteria,1
groupfairness criteria particular,1
criteria particular tackle,1
particular tackle fair,1
candidates maximizing global,1
candidates respecting groupfairness,1
maximizing global,1
global utility,1
ranking problem adopt,1
problem adopt ranked,1
adopt ranked groupfairness,1
ranked groupfairness definition,1
groupfairness definition extends,1
definition extends standard,1
extends standard notion,1
standard notion group,1
notion group fairness,1
group fairness based,1
ranking remains statistically,1
remains statistically indistinguishable,1
statistically indistinguishable minimum,1
indistinguishable minimum threshold,1
minimum threshold notion,1
threshold notion utility,1
notion utility requires,1
utility requires intuitively,1
ranking remains,1
remains statistically,1
candidate included,1
pair candidates,1
included,1
pair,1
qualified candidate ranked,1
qualified candidate,1
candidate ranked,1
ranked,1
main contribution algorithm,1
contribution algorithm producing,1
algorithm producing fair,1
main contribution,1
algorithm producing,1
producing fair,1
algorithm,1
producing,1
transgender women men,1
resilience narrative loci,1
exposure employers culture,1
interactional cultural intelligence,1
weak social norms,1
high cultural difference,1
novel facial stereotypes,1
cultural differences employees,1
interview selection contexts,1
relative cisgender groups,1
withinsubjects designs betweensubjects,1
withinsubjects designs,1
designs betweensubjects,1
conducted,1
withinsubjects,1
designs,1
betweensubjects,1
systematically varying information,1
screening human interview,1
varying information job,1
information job advertisements,1
job advertisements automation,1
advertisements automation different,1
automation different stages,1
different stages selection,1
stages selection process,1
process screening stage,1
expectations perceptions intentions,1
showed small negative,1
study3 jobseekers preprocess,1
jobseekers preprocess expectations,1
preprocess expectations perceptions,1
human study3 jobseekers,1
effects screening conducted,1
human stronger negative,1
small negative effects,1
negative effects screening,1
victim offender ethnicity,1
arabs significantly differ,1
andor behavioral manifestations,1
significantly differ victimblaming,1
affected victim offender,1
satisfaction revisit intention,1
intelligent socioemotionally skilled,1
black white participants,1
impression management strategy,1
ambidextrous acquisitions orientated,1
experiencing poverty structural,1
poverty structural discrimination,1
structural discrimination african,1
discrimination african american,1
generosity temporary assistance,1
temporary assistance needy,1
maltreatment disproportionately affects,1
child maltreatment disproportionately,1
reduce child maltreatment,1
aim understand tanfs,1
understand tanfs impact,1
perpetration child maltreatment,1
tanfs impact mothers,1
impact mothers perpetration,1
mothers perpetration child,1
aim understand,1
understand tanfs,1
tanfs impact,1
perpetration child,1
participants setting,1
participants primary caregiving,1
wellbeing birth cohort,1
primary caregiving mothers,1
caregiving mothers participating,1
mothers participating waves,1
usbased fragile families,1
fragile families child,1
families child wellbeing,1
child wellbeing birth,1
participants primary,1
use differenceindifferences estimate,1
payments family caps,1
differenceindifferences estimate overall,1
estimate overall racespecific,1
overall racespecific effects,1
policies caregivers selfreport,1
caregivers selfreport child,1
selfreport child neglect,1
child neglect physical,1
neglect physical psychological,1
reported physical abuse,1
physical abuse events,1
abuse events beta,1
reduction reported physical,1
imposing time limit,1
significant differences found,1
associated reduction reported,1
benefits associated reduction,1
beta ci significant,1
time limit tanf,1
relevance,1
increasing tanf cash,1
prioritized reduce povertyrelated,1
reduce povertyrelated child,1
povertyrelated child maltreatment,1
time limits reconsideredadvances,1
limits reconsideredadvances artificial,1
reconsideredadvances artificial intelligence,1
artificial intelligence increasingly,1
intelligence increasingly leading,1
online peer production,1
production sites contain,1
recruiters practitioners increasingly,1
production sites making,1
practitioners increasingly relying,1
activities developers find,1
developers find suitable,1
find suitable candidate,1
suitable candidate past,1
designed profile aggregation,1
creating recruitment tool,1
types peer production,1
production sites code,1
sites code hosting,1
code hosting site,1
hosting site github,1
site github technical,1
technical qa forum,1
performed scenariobased evaluation,1
scenariobased evaluation identify,1
evaluation identify participants,1
identify participants use,1
participants use developers,1
online contributions peer,1
contributions peer production,1
visual resume making,1
analysis helped identifying,1
information select candidate,1
helped identifying technical,1
identifying technical soft,1
technical soft skill,1
soft skill cues,1
skill cues useful,1
hiring decisions online,1
decisions online production,1
suggest visual resume,1
evaluate cues technical,1
cues technical soft,1
technical soft skills,1
soft skills efficiently,1
skills efficiently presents,1
efficiently presents aggregated,1
presents aggregated view,1
aggregated view candidate,1
easy comparison candidates,1
literature shows female,1
contribute employment disparity,1
lower operative volumes,1
operative volumes male,1
volume dependent new,1
dependent new patient,1
shows female surgeons,1
female surgeons lower,1
surgeons lower operative,1
seniority clinical subspecialty,1
data large center,1
large center examined,1
center examined number,1
examined number new,1
number new patient,1
patient referrals surgeons,1
referrals surgeons multivariate,1
surgeons multivariate linear,1
median new patient,1
fewer new patient,1
surgeonmonths included overall,1
interquartile range iqr,1
range iqr adjusted,1
